('Gross Profit', '176,279,000.00', '171,008,000.00', '146,052,000.00', '135,620,000.00', '115,856,000.00')
         802477 function calls (780325 primitive calls) in 1.577 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4114    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      895    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     2758    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     2605    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
6798/6730    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      156    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      121    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      921    0.001    0.000    1.064    0.001 ssl.py:1150(read)
     1825    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2728    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2644    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      188    0.001    0.000    0.102    0.001 sre_compile.py:783(compile)
      267    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      312    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     5499    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      186    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      188    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
    207/3    0.001    0.000    0.241    0.080 <frozen importlib._bootstrap>:1022(_find_and_load)
     2759    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      802    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
        1    0.001    0.001    0.002    0.002 ipaddress.py:1(<module>)
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    52/14    0.001    0.000    0.012    0.001 css_parser.py:911(parse_selectors)
    182/3    0.001    0.000    0.241    0.080 <frozen importlib._bootstrap>:664(_load_unlocked)
     6424    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5638    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
       17    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
      182    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      185    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     2759    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2610    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     1360    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      321    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
      880    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     2758    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      188    0.001    0.000    0.064    0.000 sre_parse.py:944(parse)
    205/3    0.001    0.000    0.241    0.080 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1002    0.001    0.000    0.001    0.000 sre_compile.py:447(_simple)
     2230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     3813    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.171    0.171 __init__.py:122(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      921    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2749    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      156    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      267    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       18    0.000    0.000    0.541    0.030 __init__.py:1(<module>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
      147    0.000    0.000    0.001    0.000 typing.py:146(_type_check)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      880    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      188    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      608    0.000    0.000    0.004    0.000 enum.py:359(__call__)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      384    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      188    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       19    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
      156    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      312    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    157/1    0.000    0.000    1.577    1.577 {built-in method builtins.exec}
       10    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
     1341    0.000    0.000    0.001    0.000 element.py:1543(get)
      412    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
    156/3    0.000    0.000    0.241    0.080 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      806    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      598    0.000    0.000    0.001    0.000 enum.py:678(__new__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      188    0.000    0.000    0.037    0.000 sre_compile.py:622(_code)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     3021    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.210    0.210 financial_enhanced.py:34(get_data)
      156    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
  208/174    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      921    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      468    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  182/179    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      923    0.000    0.000    0.000    0.000 socket.py:730(readable)
      471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      188    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      926    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2815    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      416    0.000    0.000    0.001    0.000 typing.py:986(__setattr__)
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1846    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
       97    0.000    0.000    0.000    0.000 element.py:2155(__init__)
        1    0.000    0.000    1.577    1.577 financial_enhanced.py:1(<module>)
      404    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
  551/533    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     1357    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      732    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
     2302    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      174    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      384    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      186    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      321    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      731    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
      165    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       97    0.000    0.000    0.038    0.000 element.py:2013(find_all)
       49    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
      104    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      207    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.007    0.002 utils.py:1(<module>)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      419    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      291    0.000    0.000    0.000    0.000 types.py:176(__get__)
